# Automatically generated
# duptype id depth size device inode priority name
DUPTYPE_WITHIN_SAME_TREE -25357 5 4 66306 19531195 1 /home/rajkumar/.local/lib/python3.8/site-packages/typing-3.7.4.3.dist-info/INSTALLER
DUPTYPE_WITHIN_SAME_TREE -25357 8 4 66306 21503046 1 /home/rajkumar/PycharmProjects/pythonProject/linux_tasks/venv/lib/python3.8/site-packages/PyMySQL-1.0.2.dist-info/INSTALLER
DUPTYPE_WITHIN_SAME_TREE -25357 5 4 66306 23724974 1 /home/rajkumar/.local/lib/python3.8/site-packages/requests-2.5.0.dist-info/INSTALLER
DUPTYPE_WITHIN_SAME_TREE -25357 8 4 66306 21503063 1 /home/rajkumar/PycharmProjects/pythonProject/linux_tasks/venv/lib/python3.8/site-packages/configparser-5.0.2.dist-info/INSTALLER
DUPTYPE_WITHIN_SAME_TREE -25357 6 4 66306 21234462 1 /home/rajkumar/windows_rajkumar/WAAutomation_FrameWork/venv/Lib/site-packages/selenium-3.141.0.dist-info/INSTALLER
DUPTYPE_WITHIN_SAME_TREE -25357 5 4 66306 18355183 1 /home/rajkumar/.local/lib/python3.8/site-packages/traitlets-5.0.5.dist-info/INSTALLER
DUPTYPE_WITHIN_SAME_TREE -25357 5 4 66306 23597924 1 /home/rajkumar/.local/lib/python3.8/site-packages/protobuf-3.15.5.dist-info/INSTALLER
DUPTYPE_WITHIN_SAME_TREE -25357 5 4 66306 21238298 1 /home/rajkumar/.local/lib/python3.8/site-packages/html_testRunner-1.2.1.dist-info/INSTALLER
DUPTYPE_WITHIN_SAME_TREE -25357 5 4 66306 19530889 1 /home/rajkumar/.local/lib/python3.8/site-packages/notebook-6.2.0.dist-info/INSTALLER
DUPTYPE_WITHIN_SAME_TREE -25357 5 4 66306 23597173 1 /home/rajkumar/.local/lib/python3.8/site-packages/google_auth-1.27.1.dist-info/INSTALLER
DUPTYPE_WITHIN_SAME_TREE -25357 5 4 66306 23597058 1 /home/rajkumar/.local/lib/python3.8/site-packages/rsa-4.7.2.dist-info/INSTALLER
DUPTYPE_WITHIN_SAME_TREE -25357 6 4 66306 20976011 1 /home/rajkumar/windows_rajkumar/selenium/venv/Lib/site-packages/keyring-21.2.0.dist-info/INSTALLER
DUPTYPE_WITHIN_SAME_TREE -25357 5 4 66306 23597018 1 /home/rajkumar/.local/lib/python3.8/site-packages/six-1.15.0.dist-info/INSTALLER
DUPTYPE_WITHIN_SAME_TREE -25357 6 4 66306 21234555 1 /home/rajkumar/windows_rajkumar/WAAutomation_FrameWork/venv/Lib/site-packages/urllib3-1.25.9.dist-info/INSTALLER
DUPTYPE_WITHIN_SAME_TREE -25357 7 4 66306 21233897 1 /home/rajkumar/windows_rajkumar/WAAutomation_FrameWork/venv/Lib/site-packages/pip-19.0.3-py3.8.egg/EGG-INFO/top_level.txt
DUPTYPE_WITHIN_SAME_TREE -25357 5 4 66306 23597011 1 /home/rajkumar/.local/lib/python3.8/site-packages/cachetools-4.2.1.dist-info/INSTALLER
DUPTYPE_WITHIN_SAME_TREE -25357 5 4 66306 23596980 1 /home/rajkumar/.local/lib/python3.8/site-packages/pyasn1_modules-0.2.8.dist-info/INSTALLER
DUPTYPE_WITHIN_SAME_TREE -25357 5 4 66306 23334469 1 /home/rajkumar/.local/lib/python3.8/site-packages/prompt_toolkit-3.0.16.dist-info/INSTALLER
DUPTYPE_WITHIN_SAME_TREE -25357 5 4 66306 23462600 1 /home/rajkumar/.local/lib/python3.8/site-packages/async_generator-1.10.dist-info/INSTALLER
DUPTYPE_WITHIN_SAME_TREE -25357 5 4 66306 23598160 1 /home/rajkumar/.local/lib/python3.8/site-packages/googleapis_common_protos-1.53.0.dist-info/INSTALLER
DUPTYPE_WITHIN_SAME_TREE -25357 5 4 66306 23462677 1 /home/rajkumar/.local/lib/python3.8/site-packages/nbclient-0.5.3.dist-info/INSTALLER
DUPTYPE_WITHIN_SAME_TREE -25357 8 4 66306 21502074 1 /home/rajkumar/PycharmProjects/pythonProject/linux_tasks/venv/lib/python3.8/site-packages/setuptools-56.2.0.dist-info/INSTALLER
DUPTYPE_WITHIN_SAME_TREE -25357 5 4 66306 23462708 1 /home/rajkumar/.local/lib/python3.8/site-packages/defusedxml-0.7.1.dist-info/INSTALLER
DUPTYPE_WITHIN_SAME_TREE -25357 5 4 66306 23462574 1 /home/rajkumar/.local/lib/python3.8/site-packages/nest_asyncio-1.5.1.dist-info/INSTALLER
DUPTYPE_WITHIN_SAME_TREE -25357 5 4 66306 23335155 1 /home/rajkumar/.local/lib/python3.8/site-packages/tornado-6.1.dist-info/INSTALLER
DUPTYPE_WITHIN_SAME_TREE -25357 5 4 66306 23724091 1 /home/rajkumar/.local/lib/python3.8/site-packages/httplib2-0.19.0.dist-info/INSTALLER
DUPTYPE_WITHIN_SAME_TREE -25357 5 4 66306 23334130 1 /home/rajkumar/.local/lib/python3.8/site-packages/wcwidth-0.2.5.dist-info/INSTALLER
DUPTYPE_WITHIN_SAME_TREE -25357 5 4 66306 19138401 1 /home/rajkumar/.local/lib/python3.8/site-packages/qt5_applications-5.15.2.2.1.dist-info/INSTALLER
DUPTYPE_WITHIN_SAME_TREE -25357 5 4 66306 23729986 1 /home/rajkumar/.local/lib/python3.8/site-packages/numpy-1.20.1.dist-info/INSTALLER
DUPTYPE_WITHIN_SAME_TREE -25357 5 4 66306 23598259 1 /home/rajkumar/.local/lib/python3.8/site-packages/urllib3-1.26.3.dist-info/INSTALLER
DUPTYPE_WITHIN_SAME_TREE -25357 5 4 66306 23335326 1 /home/rajkumar/.local/lib/python3.8/site-packages/pyzmq-22.0.3.dist-info/INSTALLER
DUPTYPE_WITHIN_SAME_TREE -25357 5 4 66306 23462503 1 /home/rajkumar/.local/lib/python3.8/site-packages/nbformat-5.1.2.dist-info/INSTALLER
DUPTYPE_WITHIN_SAME_TREE -25357 5 4 66306 23598400 1 /home/rajkumar/.local/lib/python3.8/site-packages/certifi-2020.12.5.dist-info/INSTALLER
DUPTYPE_WITHIN_SAME_TREE -25357 5 4 66306 18613839 1 /home/rajkumar/.local/lib/python3.8/site-packages/beautifulsoup4-4.9.3.dist-info/INSTALLER
DUPTYPE_WITHIN_SAME_TREE -25357 6 4 66306 21103265 1 /home/rajkumar/windows_rajkumar/selenium/venv/Lib/site-packages/urllib3-1.25.8.dist-info/INSTALLER
DUPTYPE_WITHIN_SAME_TREE -25357 5 4 66306 23334976 1 /home/rajkumar/.local/lib/python3.8/site-packages/ipython-7.21.0.dist-info/INSTALLER
DUPTYPE_WITHIN_SAME_TREE -25357 5 4 66306 23462212 1 /home/rajkumar/.local/lib/python3.8/site-packages/attrs-20.3.0.dist-info/INSTALLER
DUPTYPE_WITHIN_SAME_TREE -25357 5 4 66306 23334103 1 /home/rajkumar/.local/lib/python3.8/site-packages/Pygments-2.8.1.dist-info/INSTALLER
DUPTYPE_WITHIN_SAME_TREE -25357 5 4 66306 23462567 1 /home/rajkumar/.local/lib/python3.8/site-packages/Jinja2-2.11.3.dist-info/INSTALLER
DUPTYPE_WITHIN_SAME_TREE -25357 5 4 66306 23598284 1 /home/rajkumar/.local/lib/python3.8/site-packages/idna-2.10.dist-info/INSTALLER
